======================================================================
SAS AUDIT LOG - 2026-07-27
======================================================================
One row records one SAS action. Passwords and secret values are never written to this file.

TIME     | ACTOR                | ACTION                       | DETAILS
12:47:01 | ADMIN                | FACE USER REGISTERED         | Name: Gary · Employee Id: 4372447 · Samples: 6 · Model: InsightFace buffalo_s
12:47:15 | ADMIN                | FACE USER REGISTRATION FAILED | Name: Gary · Employee Id: 4372447 · Result: Failed
12:47:18 | ADMIN                | FACE USER REGISTRATION FAILED | Name: Gary · Employee Id: 4372447 · Result: Failed
12:47:26 | ADMIN                | FACE USER REGISTERED         | Name: Gary · Employee Id: 4372447 · Samples: 7 · Model: InsightFace buffalo_s
12:47:31 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:49:10 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:49:56 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 59.4% · Pi host: JEFACEDESKTOP · Event Id: 5a0858a2-8e94-41fe-905d-7b04b10f9db2
12:51:21 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 73.0% · Pi host: JEFACEDESKTOP · Event Id: 94475346-713a-4b4b-9a82-649d3917f835
12:51:34 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 67.6% · Pi host: JEFACEDESKTOP · Event Id: e420ee81-4473-42bb-85ac-75afb88609ff
12:51:46 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 59.7% · Pi host: JEFACEDESKTOP · Event Id: 2d19fbba-259e-4a9e-bcb5-23ecafb594b6
12:53:15 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 82.8% · Pi host: JEFACEDESKTOP · Event Id: cbfff9b1-c53f-4eba-8d69-2f1ed5ee2dd5
12:53:20 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:53:53 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 80.4% · Pi host: JEFACEDESKTOP · Event Id: 10e48cde-0b6f-4bc1-80ce-677a3ab908ca
12:54:02 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:54:25 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 67.2% · Pi host: JEFACEDESKTOP · Event Id: 4bd9f047-e303-454b-8b18-aacad400b246
12:59:17 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 87.2% · Pi host: JEFACEDESKTOP · Event Id: 9f9c603d-907c-4837-bf30-9d5373d061e2
12:59:27 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:59:28 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:59:30 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:59:30 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
12:59:31 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
12:59:39 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
13:00:46 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
13:00:50 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
13:01:27 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 84.3% · Pi host: JEFACEDESKTOP · Event Id: f54a633a-e1b8-4ffb-a7da-9b0f34f29e3b
13:02:32 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 81.4% · Pi host: JEFACEDESKTOP · Event Id: dbb276fa-7efe-4823-a8f0-87514b6681a0
13:04:01 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 77.8% · Pi host: JEFACEDESKTOP · Event Id: 94c10d4a-65a1-445b-966c-3177c165096b
13:04:13 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 84.5% · Pi host: JEFACEDESKTOP · Event Id: 47d49cea-bc1d-41aa-8cc8-1553d037ff2a
13:04:27 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 82.2% · Pi host: JEFACEDESKTOP · Event Id: 0d35c5de-6f31-4bbb-af97-620b8c53461d
14:11:16 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
14:23:13 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
14:23:13 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:23:37 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:23:45 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:23:55 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:24:29 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:24:54 | ADMIN                | PI CONNECTED                 | Requested host: 10.122.135.89 · Pi host: JEFACEDESKTOP · API port: 5000 · Oneconnect: Normal connect
14:24:57 | ADMIN                | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Pi host: JEFACEDESKTOP → 10.122.135.89 · Inactivity lock: 00:10 · Disabled while locked: Keyboard · Auto capture: Disabled · Camera rotation: 180°
14:24:57 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:25:49 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:26:36 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
14:27:57 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 66.4% · Pi host: JEFACEDESKTOP · Event Id: 4e622af7-6f9a-484b-8fdd-704d663bb2e4
14:28:22 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 80.0% · Pi host: JEFACEDESKTOP · Event Id: 16eda881-7e63-49cb-9260-d087aba832d4
14:29:49 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 84.0% · Pi host: JEFACEDESKTOP · Event Id: 3b946782-1f57-45b5-ae37-e478792106bb
14:32:18 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 79.7% · Pi host: JEFACEDESKTOP · Event Id: 17e49e7c-de6b-4162-b6a5-82d23e7224ba
14:33:59 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 83.9% · Pi host: JEFACEDESKTOP · Event Id: c10edcd2-7c38-4e6d-9083-4a5f24b933df
14:35:20 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 81.9% · Pi host: JEFACEDESKTOP · Event Id: 588927d2-c350-4735-b977-9026d6fa633e
14:38:43 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
14:39:12 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 85.2% · Pi host: JEFACEDESKTOP · Event Id: 0082a5d4-4601-44fc-9a80-2b0888cce92d
14:41:38 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 84.1% · Pi host: JEFACEDESKTOP · Event Id: ee529a5a-e086-4a49-b47e-87387db05df7
14:46:24 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
14:48:56 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
14:48:56 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:49:10 | ADMIN                | SAS LOG DOWNLOADED           | Local folder: C:/Temp\SAS_LOG_20260727_144910 · Result: 5 file(s)
14:49:18 | ADMIN                | PI LOG DOWNLOADED            | Local folder: C:/Temp\Pi_LOG_20260727_144918 · Pi host: 10.122.135.89
14:53:19 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:53:21 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
14:53:22 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
14:53:23 | ADMIN                | PI DISCONNECTED              | Pi host: 10.122.135.89 · Result: Manual disconnect
14:53:28 | NOT_AUTHENTICATED    | UNLOCKED                     | Method: Emergency Hotkey · Workstation user: 4372447 · Access: Desktop only · Confidence: —
14:53:40 | UNAUTHENTICATED      | PI CONNECTED                 | Pi host: JEFACEDESKTOP · API port: 5000 · Oneconnect: Normal connect
14:53:45 | UNAUTHENTICATED      | SETTINGS SAVED               | Server path: \\mypenm0vdspc16\internship\Gary LIm\SAS_finaltest · Pi host: 10.122.135.89 → JEFACEDESKTOP · Inactivity lock: 00:10 · Disabled while locked: Keyboard · Auto capture: Disabled · Camera rotation: 180°
14:54:18 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 82.3% · Pi host: JEFACEDESKTOP · Event Id: 0f12c36b-1111-4f13-9a34-b07e2912fed9
14:55:55 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 81.6% · Pi host: JEFACEDESKTOP · Event Id: 2532a62e-20af-40be-8cde-5530f56048dd
14:56:10 | 4372447              | LOGIN SUCCESS                | Role: Admin · Method: Active Directory
14:56:10 | 4372447              | RESTRICTED PAGE OPENED       | Page: Settings
14:56:26 | 4372447              | SAS LOG DOWNLOADED           | Local folder: C:/Temp\SAS_LOG_20260727_145626 · Result: 5 file(s)
14:56:34 | 4372447              | PI LOG DOWNLOADED            | Local folder: C:/Temp\Pi_LOG_20260727_145634 · Pi host: JEFACEDESKTOP
14:59:20 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 78.2% · Pi host: JEFACEDESKTOP · Event Id: 7703ec43-f72a-4292-8922-211da7bc9b2f
14:59:52 | ADMIN                | LOGIN SUCCESS                | Role: Admin · Method: Built-in Local Admin
14:59:52 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
15:00:09 | ADMIN                | SAS LOG DOWNLOADED           | Local folder: C:/Temp\SAS_LOG_20260727_150009 · Result: 2026-07-27 only
15:01:15 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
15:01:17 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Face Recognition
15:01:21 | ADMIN                | RESTRICTED PAGE OPENED       | Page: Settings
15:03:32 | 4372447              | UNLOCKED                     | Method: FACE_RECOGNITION_WEBSOCKET · Confidence: 75.2% · Pi host: JEFACEDESKTOP · Event Id: 8c4afc0f-001c-4336-8d3b-61a3710ae744
